project_id,asset_class,database,sector_code,country,region,invest_usd,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,4,Transport_Logistics,1.31747,263.895,14.147,0.92581,0.79048,3.18168,4.79558
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,4,Health_Social,1.04746,168.171,21.479,1.18876,0.73322,1.08412,0.54468
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,4,Agriculture,0.56141,89.13,14.574,3.67585,0.42667,1.80775,0.65685
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,4,Mining_Extraction,2.55044,965.819,19.167,5.64115,1.42824,13.1985,4.64179
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,4,Water_Waste,0.72333,89.194,9.218,7.3433,0.4991,0.9982,0.47017
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,5,Construction,0.45619,116.821,7.013,0.4425,0.21897,0.94431,0.47444
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,5,Energy_Utilities,0.84654,181.173,4.345,1.30283,0.54179,8.27494,1.65076
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,5,Manufacturing,1.39601,600.93,11.99,2.62673,0.58632,5.1373,2.17777
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,5,Transport_Logistics,0.61474,123.135,6.601,0.43199,0.36884,1.48459,2.23764
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,5,Health_Social,0.48855,78.437,10.018,0.55445,0.34198,0.50565,0.25405
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,5,Agriculture,0.26154,41.522,6.79,1.71244,0.19877,0.84216,0.306
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,5,Mining_Extraction,1.19049,450.824,8.947,2.63317,0.66667,6.16079,2.16669
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,5,Water_Waste,0.33737,41.6,4.299,3.42493,0.23278,0.46556,0.21929
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,0,Construction,5.5,1643.18,109.494,6.6154,2.64,13.365,6.38
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,0,Energy_Utilities,1.75,555.94,11.267,3.29175,1.12,20.08125,3.80625
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,0,Manufacturing,8.75,4404.96,93.632,19.551,3.675,37.8,15.225
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,0,Transport_Logistics,1.5,336.105,20.202,1.22688,0.9,4.2525,6.09
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,0,Health_Social,4.5,840.924,116.786,6.08918,3.15,5.4675,2.61
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,0,Agriculture,0.25,41.16,8.14,2.00062,0.19,0.945,0.32625
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,0,Mining_Extraction,1.5,642.528,14.045,3.93984,0.84,9.1125,3.045
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,0,Water_Waste,1.25,193.325,21.33,14.57,0.8625,2.025,0.90625
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,1,Construction,1.12625,336.478,22.421,1.35465,0.5406,2.73679,1.30645
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,1,Energy_Utilities,1.7365,551.651,11.18,3.26636,1.11136,19.92634,3.77689
