project_id,asset_class,database,sector_code,country,region,invest_usd,supplying_sector,sourcing_country,trade_share,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t,model_label,scenario,year,adj_ratio_ghg,adj_ratio_employment,adj_ratio_water,adj_ratio_va,GHG_adj_tCO2e,Employment_adj_FTE,Water_adj_1000m3,ValueAdded_adj_M$,tier_label,tier,sourcing_region,sourcing_share,tier_range
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP1-1.9,2025.0,0.7833,1.1471,0.6078663855501878,1.1471,3352.7746559999996,117.761286,18.71012734723478,14.68288,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP1-1.9,2030.0,0.5659,1.184,0.45992613971530133,1.184,2422.2330879999995,121.54943999999999,14.156526580436976,15.1552,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP1-1.9,2040.0,0.1132,1.2534,0.15988286611186275,1.2534,484.5322239999999,128.674044,4.921194618923136,16.04352,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP2-4.5,2025.0,1.0254,1.088,0.7917047314628838,1.088,4389.040128,111.69408,24.368671634427564,13.926400000000001,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP2-4.5,2030.0,0.7518,1.137,0.6028953194657325,1.137,3217.944576,116.72442,18.557117933155247,14.553600000000001,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP2-4.5,2040.0,0.3665,1.2065,0.3364264164875368,1.2065,1568.7372799999998,123.85928999999999,10.355205099486383,15.4432,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP3-7.0,2025.0,1.1159,1.065,0.8613688492124596,1.065,4776.409087999999,109.3329,26.512933178759507,13.632,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP3-7.0,2030.0,0.7887,1.1253,0.6336921957863778,1.1253,3375.8883839999994,115.523298,19.50504578630471,14.40384,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP3-7.0,2040.0,0.3704,1.2033,0.34165561282255663,1.2033,1585.4305279999999,123.530778,10.516159762678294,15.40224,tier0,,,,
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,LATAM,1.0,20.0,4280.32,102.66,30.78,12.8,195.5,39.0,OSeMOSYS,SSP4-6.0,2025.0,1.0162,1.092,0.7828295814147193,1.092,4349.661184,112.10472,24.09549451594506,13.977600000000002,tier0,,,,
