model,scenario,year,project_id,asset_class,region,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,GHG_adj_tCO2e,Employment_adj_FTE,Water_adj_1000m3,ValueAdded_adj_M$
OSeMOSYS,SSP2-4.5,2025.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,128807.17657470002,5988.209696000001,790.2512492280578,278.04956480000004
OSeMOSYS,SSP2-4.5,2025.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,11731.9228696,677.896336,81.4074089990061,26.15056912
OSeMOSYS,SSP2-4.5,2025.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,21781.1455434,1110.5954720000002,148.16554617797948,82.25782752
OSeMOSYS,SSP2-4.5,2025.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,643675.1490614,28836.09648,3756.1366664788734,2191.6282105600003
OSeMOSYS,SSP2-4.5,2025.0,Rail_EU_OP1,Transport,Europe,42.063,1.613,0.35166,0.14271,35.4993598,1.7208320000000001,0.25485700795584626,0.15260704
OSeMOSYS,SSP2-4.5,2025.0,Rail_EU_OP2,Transport,Europe,29.118000000000002,1.116,0.2435,0.09870000000000001,24.5744614,1.1906560000000002,0.1764698597893331,0.10554432000000001
OSeMOSYS,SSP2-4.5,2030.0,Hydro_AF,Energy,Africa,19810.043999999998,777.231,127.29241,30.66147,10065.112131,854.4432231,66.57172113957952,33.711934619999994
OSeMOSYS,SSP2-4.5,2030.0,Hydro_AS,Energy,Asia,94348.175,3587.415,621.3964,154.10061,50811.2474571,3882.3408140999995,364.63134804724376,166.83464475099998
OSeMOSYS,SSP2-4.5,2030.0,Hydro_EU,Energy,Europe,792.937,27.285999999999998,5.07133,2.05574,524.2823025,30.3137086,2.9782674807808585,2.285374245
OSeMOSYS,SSP2-4.5,2030.0,Proj_001,Health,LATAM,127310.303,5524.17,999.20328,256.50715,94214.9667533,6267.334986100001,601.1644940622132,290.976581489
OSeMOSYS,SSP2-4.5,2030.0,Proj_002,Health,Africa,15485.008,662.222,111.93954,25.53141,7864.6994747,728.0226806999999,58.49357763372178,28.071781655
OSeMOSYS,SSP2-4.5,2030.0,Proj_003,Health,Europe,25807.022,1040.627,204.46526,76.94068,17062.0719848,1156.2713195000001,120.08762926589517,85.542567533
OSeMOSYS,SSP2-4.5,2030.0,Rail_EU_DEV,Transport,Europe,762641.142,27028.731,5179.53173,2050.32969,504232.97140770004,30028.922936,3041.9037314181337,2279.418122463
