model,scenario,year,project_id,asset_class,region,base_dep_factor_GHG_tCO2e,base_dep_factor_Employment_FTE,base_dep_factor_Water_1000m3,base_dep_factor_ValueAdded_M$,GHG_dep_tCO2e,Employment_dep_FTE,Water_dep_1000m3,ValueAdded_dep_M$
OSeMOSYS,SSP1-1.9,2025.0,Hydro_AF,Energy,Africa,86.12986666666667,88.57431111111111,135.62453333333335,117.90835555555554,14602.27814131043,946.6328044105001,120.77995083948831,43.16559464106314
OSeMOSYS,SSP1-1.9,2025.0,Hydro_AS,Energy,Asia,87.99653333333333,90.44097777777777,141.1452,123.18168888888889,80590.07473569206,4232.218846204694,691.1711968306618,214.36961970032974
OSeMOSYS,SSP1-1.9,2025.0,Hydro_EU,Energy,Europe,85.63893333333334,88.08337777777778,122.1276,115.22595555555556,504.8529456391001,33.73550031705556,4.0296356944455445,2.9008611179115005
OSeMOSYS,SSP1-1.9,2025.0,Proj_001,Health,LATAM,79.72986666666668,79.72986666666668,105.66875555555555,106.03991111111111,99879.42489989325,6481.688771503584,827.2917080646757,357.0158436447768
OSeMOSYS,SSP1-1.9,2025.0,Proj_002,Health,Africa,78.79653333333333,78.79653333333333,111.18008888888889,108.13057777777777,10997.941754120913,731.5860252159166,97.89685921220362,34.49628113847797
OSeMOSYS,SSP1-1.9,2025.0,Proj_003,Health,Europe,78.3056,78.3056,97.68315555555557,105.44817777777777,15932.816250434631,1194.0875058551667,148.50954029825527,104.37793475364731
OSeMOSYS,SSP1-1.9,2025.0,Rail_EU_DEV,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,446446.90087664407,35094.16350182909,3560.510311987772,2577.2267461607375
OSeMOSYS,SSP1-1.9,2025.0,Rail_EU_OP1,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,25.470794151640003,2.056953202694445,0.24614486763003138,0.18239198750047225
OSeMOSYS,SSP1-1.9,2025.0,Rail_EU_OP2,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,17.63134975675,1.4224969153333336,0.17043543664135644,0.1261395009874167
OSeMOSYS,SSP1-1.9,2030.0,Hydro_AF,Energy,Africa,86.12986666666667,88.57431111111111,135.62453333333335,117.90835555555554,1502.8979083326767,1072.0178358458443,29.95681776540614,48.79342790139108
OSeMOSYS,SSP1-1.9,2030.0,Hydro_AS,Energy,Asia,87.99653333333333,90.44097777777777,141.1452,123.18168888888889,56115.39768201702,4523.466147933672,472.430286625466,229.0640927819018
OSeMOSYS,SSP1-1.9,2030.0,Hydro_EU,Energy,Europe,85.63893333333334,88.08337777777778,122.1276,115.22595555555556,266.3726547316167,35.474683306783334,2.5219807116889164,3.0486477901079163
OSeMOSYS,SSP1-1.9,2030.0,Proj_001,Health,LATAM,79.72986666666668,79.72986666666668,105.66875555555555,106.03991111111111,71556.198042614,6702.519081096533,619.4302553967073,369.21973381175604
OSeMOSYS,SSP1-1.9,2030.0,Proj_002,Health,Africa,78.79653333333333,78.79653333333333,111.18008888888889,108.13057777777777,1115.8565864223099,828.5238902879832,23.943599001316112,39.0055000034906
OSeMOSYS,SSP1-1.9,2030.0,Proj_003,Health,Europe,78.3056,78.3056,97.68315555555557,105.44817777777777,8406.94667894791,1255.5102112018833,92.86256157902332,109.68684771179777
OSeMOSYS,SSP1-1.9,2030.0,Rail_EU_DEV,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,235593.6124593507,36902.16106476582,2227.886221230858,2708.4763974673956
OSeMOSYS,SSP1-1.9,2030.0,Rail_EU_OP1,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,13.440183936730001,2.1630196457944444,0.15393123836676526,0.19165368421586113
OSeMOSYS,SSP1-1.9,2030.0,Rail_EU_OP2,Transport,Europe,70.97226666666667,97.86115555555557,87.90537777777779,90.78151111111112,9.304151376416668,1.4959461412944446,0.10657970674066383,0.13254362549183332
OSeMOSYS,SSP1-1.9,2040.0,Hydro_AF,Energy,Africa,86.12986666666667,88.57431111111111,135.62453333333335,117.90835555555554,474.21686913722334,1090.916325717661,20.43820169552458,49.742156291635055
OSeMOSYS,SSP1-1.9,2040.0,Hydro_AS,Energy,Asia,87.99653333333333,90.44097777777777,141.1452,123.18168888888889,993.2471901310399,5142.256827232066,97.86471210012948,260.19022339345327
OSeMOSYS,SSP1-1.9,2040.0,Hydro_EU,Energy,Europe,85.63893333333334,88.08337777777778,122.1276,115.22595555555556,63.75677083971667,37.91183241120556,1.0203150808935568,3.253716492236278
OSeMOSYS,SSP1-1.9,2040.0,Proj_001,Health,LATAM,79.72986666666668,79.72986666666668,105.66875555555555,106.03991111111111,13756.600435679333,7113.97412651265,211.76208130219624,391.9116131736661
