Manufacturing Country,SASB industry,Variable,Unit,direct,upstream tier 1,upstream tier 2,upstream rest,Total
IND,Services,Air Emission,EUR Impact per EUR Output,-0.21131635528846596,-0.061044637766040695,-0.03347653297249689,-0.02781404269888556,-0.3336515687258891
IND,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.007487066545075396,-0.03548588439678195,-0.02208715169211847,-0.024830596996419152,-0.08989069963039498
IND,Transportation,Air Emission,EUR Impact per EUR Output,-0.05119166094706739,-0.08423889418009096,-0.07194819996460257,-0.05704902040759945,-0.26442777549936036
ITA,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.0013223681159741597,-0.006327026122116692,-0.004916505684611961,-0.009054031365110522,-0.021619931287813334
ITA,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.010625809927567374,-0.027893586946323465,-0.016624430115557105,-0.02038773370209735,-0.07553156069154529
ITA,Financials,Air Emission,EUR Impact per EUR Output,-0.0001797177164240951,-0.0007076121784742484,-0.0010261389777179819,-0.0028663121617218622,-0.004779781034338188
ITA,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.07417797225380983,-0.047951911352888225,-0.020511637136143897,-0.018981194387433283,-0.16162271513027526
ITA,Health Care,Air Emission,EUR Impact per EUR Output,-0.0003723039690077211,-0.0021265244322777794,-0.00235333998577385,-0.005310529503555538,-0.010162697890614891
ITA,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.004678302717771977,-0.006181145997061778,-0.004717919739912236,-0.008470372473164916,-0.024047740927910906
ITA,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.006334470145978442,-0.010998094081600527,-0.008345492230388236,-0.015476772859351548,-0.04115482931731875
ITA,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.0014041474779512783,-0.008497470778224499,-0.009168933692425043,-0.01755536144910376,-0.03662591339770459
ITA,Services,Air Emission,EUR Impact per EUR Output,-0.0005868395754095024,-0.004087888488924478,-0.0045271499243249285,-0.006944551155784887,-0.016146429144443794
ITA,Technology & Communications,Air Emission,EUR Impact per EUR Output,-0.000157120443032659,-0.002275232887912857,-0.002944006958836235,-0.00766141357960675,-0.0130377738693885
ITA,Transportation,Air Emission,EUR Impact per EUR Output,-0.027364935452266512,-0.00910703934871595,-0.007239783221039435,-0.01182841063250611,-0.05554016865452801
JPN,Consumer Goods,Air Emission,EUR Impact per EUR Output,-0.0016773352576809008,-0.005289217366674258,-0.005879340000683073,-0.010837180176670638,-0.02368307280170887
JPN,Extractives & Minerals Processing,Air Emission,EUR Impact per EUR Output,-0.06036820262507769,-0.06438690866856703,-0.03469059660844133,-0.03938344521229606,-0.1988291531143821
JPN,Financials,Air Emission,EUR Impact per EUR Output,-0.0004804342298054923,-0.0017406067572008426,-0.0025954975350961362,-0.006659900399751929,-0.0114764389218544
JPN,Food & Beverage,Air Emission,EUR Impact per EUR Output,-0.04439923599192899,-0.03753731010417535,-0.01740557415993771,-0.020211003905635544,-0.11955312416167761
JPN,Health Care,Air Emission,EUR Impact per EUR Output,-0.005853458001928627,-0.007124055913701135,-0.005610358782122439,-0.010418308089556398,-0.0290061807873086
JPN,Infrastructure,Air Emission,EUR Impact per EUR Output,-0.008670530972577282,-0.018890914172930377,-0.010323953794288767,-0.013844464275893108,-0.051729863215689544
JPN,Renewable Resources & Alternative Energy,Air Emission,EUR Impact per EUR Output,-0.05698176143788876,-0.029639145575074115,-0.01678702963309669,-0.023160591209432386,-0.12656852785549194
JPN,Resource Transformation,Air Emission,EUR Impact per EUR Output,-0.005947985512905349,-0.020017062406007657,-0.02123229671848657,-0.03698547876304753,-0.0841828234004471
