project_id,asset_class,database,sector_code,country,region,invest_usd,GHG_tCO2e_t0_5,Emp_FTE_t0_5,Water_1000m3_t0_5,VA_Musd_t0_5
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,21064.829999999998,826.606,135.83147,31.27476
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,98228.095,3729.464,650.9306,156.37392
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,747.6419999999999,25.424,4.72237,2.08494
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,130594.501,5627.82,1021.889,260.05964
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,16437.105,701.619,118.80099,26.02291
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,24309.239999999998,977.928,192.64999,77.96567
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,718847.209,25223.423,4841.57121,2078.81313
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,39.535,1.5310000000000001,0.33188999999999996,0.14465
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,27.372,1.058,0.22973,0.10011
